year,max_results_score,event,event_name,event_type,competitor,nat,mark,date,venue,gender,environment,age,age_category
1992,1261.0,Men's 1500m,1500-metres,middle-long,Noureddine MORCELI,ALG,3:28.86,1992-09-06,Rieti (ITA),men,outdoor,22.0,senior
1993,1293.0,Women's 3000m,3000-metres,middle-long,Junxia WANG,CHN,8:06.11,1993-09-13,Beijing (CHN),women,outdoor,20.0,senior
1994,1270.0,Men's 3000m,3000-metres,middle-long,Noureddine MORCELI,ALG,7:25.11,1994-08-02,"Stade Louis II, Monaco (MON)",men,outdoor,24.0,senior
1995,1282.0,Men's 1500m,1500-metres,middle-long,Noureddine MORCELI,ALG,3:27.37,1995-07-12,Nice (FRA),men,outdoor,25.0,senior
1996,1299.0,Men's 3000m,3000-metres,middle-long,Daniel KOMEN,KEN,7:20.67,1996-09-01,Rieti (ITA),men,outdoor,20.0,senior
1997,1305.0,Men's 800m indoor,800-metres,middle-long,Wilson KIPKETER,DEN,1:42.67,1997-03-09,"Palais Omnisports de Paris-Bercy, Paris (FRA)",men,indoor,25.0,senior
1998,1302.0,Men's 1500m,1500-metres,middle-long,Hicham EL GUERROUJ,MAR,3:26.00,1998-07-14,"Stadio Olimpico, Roma (ITA)",men,outdoor,24.0,senior
1999,1300.0,Men's 5000m indoor,5000-metres,middle-long,Haile GEBRSELASSIE,ETH,12:50.38,1999-02-14,Birmingham (GBR),men,indoor,26.0,senior
2000,1285.0,Men's 1500m,1500-metres,middle-long,Hicham EL GUERROUJ,MAR,3:27.21,2000-08-11,Zürich (SUI),men,outdoor,26.0,senior
2001,1301.0,Men's 1500m,1500-metres,middle-long,Hicham EL GUERROUJ,MAR,3:26.12,2001-08-24,Bruxelles (BEL),men,outdoor,27.0,senior
2002,1289.0,Men's 1500m,1500-metres,middle-long,Hicham EL GUERROUJ,MAR,3:26.89,2002-08-16,Zürich (SUI),men,outdoor,28.0,senior
2003,1285.0,Men's 2 Miles indoor,two-miles,middle-long,Haile GEBRSELASSIE,ETH,8:04.69,2003-02-21,"National Indoor Arena, Birmingham (GBR)",men,indoor,30.0,senior
2004,1303.0,Men's 5000m indoor,5000-metres,middle-long,Kenenisa BEKELE,ETH,12:49.60,2004-02-20,"National Indoor Arena, Birmingham (GBR)",men,indoor,22.0,senior
2005,1295.0,"Men's 10,000m",10000-metres,middle-long,Kenenisa BEKELE,ETH,26:17.53,2005-08-26,"Boudewijnstadion, Bruxelles (BEL)",men,outdoor,23.0,senior
2006,1283.0,Men's 2 Miles indoor,two-miles,middle-long,Kenenisa BEKELE,ETH,8:05.12,2006-02-18,"National Indoor Arena, Birmingham (GBR)",men,indoor,24.0,senior
2007,1280.0,Men's 2000m indoor,2000-metres,middle-long,Kenenisa BEKELE,ETH,4:49.99,2007-02-17,"National Indoor Arena, Birmingham (GBR)",men,indoor,25.0,senior
2008,1287.0,Men's 2 Miles indoor,two-miles,middle-long,Kenenisa BEKELE,ETH,8:04.35,2008-02-16,"National Indoor Arena, Birmingham (GBR)",men,indoor,26.0,senior
2009,1266.0,Men's 800m,800-metres,middle-long,David RUDISHA,KEN,1:42.01,2009-09-06,Rieti (ITA),men,outdoor,21.0,senior
2010,1298.0,Men's 800m,800-metres,middle-long,David RUDISHA,KEN,1:41.01,2010-08-29,"Stadio Guidobaldi, Rieti (ITA)",men,outdoor,22.0,senior
2011,1289.0,Men's 5000m indoor,5000-metres,middle-long,Isiah Kiplangat KOECH,KEN,12:53.29,2011-02-11,Düsseldorf (GER),men,indoor,18.0,u20
2012,1301.0,Men's 800m,800-metres,middle-long,David RUDISHA,KEN,1:40.91,2012-08-09,"Olympic Stadium, London (GBR)",men,outdoor,24.0,senior
2013,1277.0,Men's 1500m,1500-metres,middle-long,Asbel KIPROP,KEN,3:27.72,2013-07-19,"Stade Louis II, Monaco (MON)",men,outdoor,24.0,senior
2014,1281.0,Women's 3000m indoor,3000-metres,middle-long,Genzebe DIBABA,ETH,8:16.60,2014-02-06,"Globe Arena, Stockholm (SWE)",women,indoor,23.0,senior
2015,1293.0,Men's 2 Miles indoor,two-miles,middle-long,Mo FARAH,GBR,8:03.40,2015-02-21,"Barclaycard Arena, Birmingham (GBR)",men,indoor,32.0,senior
2016,1287.0,"Women's 10,000m",10000-metres,middle-long,Almaz AYANA,ETH,29:17.45,2016-08-12,"Estádio Olímpico, Rio de Janeiro (BRA)",women,outdoor,25.0,senior
2017,1262.0,Men's 1500m,1500-metres,middle-long,Elijah Motonei MANANGOI,KEN,3:28.80,2017-07-21,"Stade Louis II, Monaco (MON)",men,outdoor,24.0,senior
2018,1285.0,Women's 3000mSC,3000-metres-steeplechase,middle-long,Beatrice CHEPKOECH,KEN,8:44.32,2018-07-20,"Stade Louis II, Monaco (MON)",women,outdoor,27.0,senior
2019,1304.0,Men's Mile indoor,one-mile,middle-long,Yomif KEJELCHA,ETH,3:47.01,2019-03-03,"Boston, MA (USA)",men,indoor,22.0,senior
2020,1306.0,"Men's 10,000m",10000-metres,middle-long,Joshua CHEPTEGEI,UGA,26:11.00,2020-10-07,"Estadio de Atletismo del Turia, Valencia (ESP)",men,outdoor,24.0,senior
2021,1303.0,"Women's 10,000m",10000-metres,middle-long,Letesenbet GIDEY,ETH,29:01.03,2021-06-08,"FBK Stadium, Hengelo (NED)",women,outdoor,23.0,senior
2022,1292.0,Men's 1500m indoor,1500-metres,middle-long,Jakob INGEBRIGTSEN,NOR,3:30.60,2022-02-17,"Arena Stade Couvert, Liévin (FRA)",men,indoor,22.0,senior
2023,1307.0,Men's 2000m,2000-metres,middle-long,Jakob INGEBRIGTSEN,NOR,4:43.13,2023-09-08,"Boudewijnstadion, Bruxelles (BEL)",men,outdoor,23.0,senior
1948,1103.0,Men's 300m,300-metres,sprints,Herb MCKENLEY,JAM,32.64,1948-09-03,Stockholm (SWE),men,outdoor,26.0,senior
1950,1103.0,Men's 300m,300-metres,sprints,Herb MCKENLEY,JAM,32.64,1950-08-16,Stockholm (SWE),men,outdoor,28.0,senior
1956,1156.0,Men's 400m,400-metres,sprints,Lou JONES,USA,45.44,1956-06-30,"Los Angeles, CA (USA)",men,outdoor,24.0,senior
1958,1108.0,Men's 100m,100-metres,sprints,Peter RADFORD,GBR,10.29,1958-09-13,Colombes (FRA),men,outdoor,19.0,u20
1960,1177.0,Men's 400m,400-metres,sprints,Otis DAVIS,USA,45.14,1960-09-06,"Stadio Olimpico, Roma (ITA)",men,outdoor,28.0,senior
1964,1177.0,Men's 400m,400-metres,sprints,Mike LARRABEE,USA,45.14,1964-09-12,"Los Angeles, CA (USA)",men,outdoor,31.0,senior
1965,1141.0,Women's 200m,200-metres,sprints,Irena KIRSZENSTEIN,POL,22.94,1965-08-08,Warszawa (POL),women,outdoor,19.0,senior
1966,1162.0,Men's 400m,400-metres,sprints,Tommie SMITH,USA,45.25,1966-08-20,London (GBR),men,outdoor,22.0,senior
1967,1205.0,Men's 400m,400-metres,sprints,Tommie SMITH,USA,44.74,1967-05-20,San José (USA),men,outdoor,23.0,senior
1968,1260.0,Men's 400m,400-metres,sprints,Lee EVANS,USA,43.86,1968-10-18,"Estadio Olímpico, Ciudad de México (MEX)",men,outdoor,21.0,senior
1969,1205.0,Men's 400m,400-metres,sprints,Lee EVANS,USA,44.74,1969-09-12,"South Lake Tahoe, CA (USA)",men,outdoor,22.0,senior
1970,1179.0,Men's 400m,400-metres,sprints,Charles ASATI,KEN,45.01,1970-07-23,Edinburgh (GBR),men,outdoor,24.0,senior
1971,1242.0,Men's 200m,200-metres,sprints,Don QUARRIE,JAM,19.86,1971-08-03,Cali (COL),men,outdoor,20.0,senior
1972,1233.0,Men's 400m,400-metres,sprints,Wayne COLLETT,USA,44.34,1972-07-09,"Eugene, OR (USA)",men,outdoor,23.0,senior
1973,1198.0,Women's 200m,200-metres,sprints,Renate STECHER,GDR,22.38,1973-07-21,Dresden (GER),women,outdoor,23.0,senior
1974,1216.0,Women's 200m,200-metres,sprints,Irena SZEWIŃSKA,POL,22.21,1974-06-13,Potsdam (GDR),women,outdoor,28.0,senior
1975,1244.0,Women's 300m,300-metres,sprints,Rita WILDEN,FRG,34.84,1975-05-18,Dortmund (GER),women,outdoor,28.0,senior
1976,1234.0,Women's 400m,400-metres,sprints,Irena SZEWIŃSKA,POL,49.29,1976-07-29,"Olympic Stadium, Montréal (CAN)",women,outdoor,30.0,senior
1977,1226.0,Women's 100m,100-metres,sprints,Marlies OELSNER,GDR,10.88,1977-07-01,Dresden (GER),women,outdoor,19.0,senior
1978,1248.0,Women's 400m,400-metres,sprints,Marita KOCH,GDR,48.94,1978-08-31,"Stadion Evžena Rošického, Praha (TCH)",women,outdoor,21.0,senior
1979,1268.0,Women's 200m,200-metres,sprints,Marita KOCH,GDR,21.71,1979-06-10,Karl Marx Stadt (GDR),women,outdoor,22.0,senior
1980,1251.0,Women's 400m,400-metres,sprints,Marita KOCH,GDR,48.88,1980-07-28,"Lenin Stadium, Moskva (URS)",women,outdoor,23.0,senior
1981,1262.0,Women's 400m,400-metres,sprints,Jarmila KRATOCHVÍLOVÁ,TCH,48.61,1981-09-06,"Stadio Olimpico, Roma (ITA)",women,outdoor,30.0,senior
1982,1281.0,Women's 400m,400-metres,sprints,Marita KOCH,GDR,48.16,1982-09-08,"Olympic Stadium, Athina (GRE)",women,outdoor,25.0,senior
1983,1288.0,Women's 400m,400-metres,sprints,Jarmila KRATOCHVÍLOVÁ,TCH,47.99,1983-08-10,"Olympiastadion, Helsinki (FIN)",women,outdoor,32.0,senior
1984,1281.0,Women's 400m,400-metres,sprints,Marita KOCH,GDR,48.16,1984-08-16,Praha (TCH),women,outdoor,27.0,senior
1985,1304.0,Women's 400m,400-metres,sprints,Marita KOCH,GDR,47.60,1985-10-06,"Bruce Stadium, Canberra (AUS)",women,outdoor,28.0,senior
1986,1278.0,Women's 400m,400-metres,sprints,Marita KOCH,GDR,48.22,1986-08-28,"Neckarstadion, Stuttgart (GER)",women,outdoor,29.0,senior
