event_type,half_decade_start,half_decade_label,nat,rank_among_selected_top10,global_rank_in_half_decade,half_decade_avg_of_yearly_top5_score,raw_half_decade_avg_of_yearly_top5_score,score_fill_method,has_period_data,active_years_in_half_decade,total_records_in_half_decade,max_yearly_result_score_in_half_decade,country_strength_rank,country_strength_score,quality_score,coverage_score,quality_percentile,coverage_percentile,active_half_decades,total_half_decades_in_event_type,ranking_metric_name,missing_period_score_fill_value
jumps,1960,1960s,UKR,6,,0.0,,filled_0_no_period_data,False,0,0,0.0,6,0.9256198347107438,1236.9609523809524,0.4117647058823529,1.0,0.628099173553719,7,17,Half-decade average of yearly top-5 average result score,0.0
jumps,1960,1960s,GER,7,,0.0,,filled_0_no_period_data,False,0,0,0.0,7,0.9231404958677686,1210.803,0.5882352941176471,0.9421487603305785,0.8471074380165289,10,17,Half-decade average of yearly top-5 average result score,0.0
jumps,1960,1960s,RSA,8,,0.0,,filled_0_no_period_data,False,0,0,0.0,8,0.903305785123967,1195.6956666666667,0.5882352941176471,0.9173553719008265,0.8471074380165289,10,17,Half-decade average of yearly top-5 average result score,0.0
jumps,1960,1960s,ITA,9,,0.0,,filled_0_no_period_data,False,0,0,0.0,9,0.8966942148760332,1193.2669696969697,0.6470588235294118,0.8925619834710744,0.9132231404958677,11,17,Half-decade average of yearly top-5 average result score,0.0
jumps,1960,1960s,AUS,10,,0.0,,filled_0_no_period_data,False,0,0,0.0,10,0.8925619834710744,1189.8518055555555,0.7058823529411765,0.8760330578512396,0.9586776859504132,12,17,Half-decade average of yearly top-5 average result score,0.0
jumps,1965,1965s,USA,1,2,1187.075,1187.075,actual,True,4,12,1335.0,1,0.9801652892561983,1216.44,1.0,0.9752066115702479,1.0,17,17,Half-decade average of yearly top-5 average result score,0.0
jumps,1965,1965s,ITA,2,3,1181.5,1181.5,actual,True,1,2,1188.0,9,0.8966942148760332,1193.2669696969697,0.6470588235294118,0.8925619834710744,0.9132231404958677,11,17,Half-decade average of yearly top-5 average result score,0.0
jumps,1965,1965s,FRA,3,5,1173.0,1173.0,actual,True,1,1,1173.0,3,0.9388429752066116,1209.8138888888889,0.7058823529411765,0.9338842975206612,0.9586776859504132,12,17,Half-decade average of yearly top-5 average result score,0.0
jumps,1965,1965s,AUS,4,9,1153.75,1153.75,actual,True,2,3,1167.0,10,0.8925619834710744,1189.8518055555555,0.7058823529411765,0.8760330578512396,0.9586776859504132,12,17,Half-decade average of yearly top-5 average result score,0.0
jumps,1965,1965s,CUB,5,,0.0,,filled_0_no_period_data,False,0,0,0.0,2,0.9561983471074381,1215.1225757575758,0.6470588235294118,0.9669421487603306,0.9132231404958677,11,17,Half-decade average of yearly top-5 average result score,0.0
jumps,1965,1965s,SWE,6,,0.0,,filled_0_no_period_data,False,0,0,0.0,4,0.9363636363636364,1214.2459999999999,0.5882352941176471,0.9586776859504132,0.8471074380165289,10,17,Half-decade average of yearly top-5 average result score,0.0
jumps,1965,1965s,RUS,7,,0.0,,filled_0_no_period_data,False,0,0,0.0,5,0.9330578512396696,1232.645,0.47058823529411764,0.9834710743801653,0.731404958677686,8,17,Half-decade average of yearly top-5 average result score,0.0
jumps,1965,1965s,UKR,8,,0.0,,filled_0_no_period_data,False,0,0,0.0,6,0.9256198347107438,1236.9609523809524,0.4117647058823529,1.0,0.628099173553719,7,17,Half-decade average of yearly top-5 average result score,0.0
jumps,1965,1965s,GER,9,,0.0,,filled_0_no_period_data,False,0,0,0.0,7,0.9231404958677686,1210.803,0.5882352941176471,0.9421487603305785,0.8471074380165289,10,17,Half-decade average of yearly top-5 average result score,0.0
jumps,1965,1965s,RSA,10,,0.0,,filled_0_no_period_data,False,0,0,0.0,8,0.903305785123967,1195.6956666666667,0.5882352941176471,0.9173553719008265,0.8471074380165289,10,17,Half-decade average of yearly top-5 average result score,0.0
jumps,1970,1970s,USA,1,2,1170.8600000000001,1170.8600000000001,actual,True,5,77,1212.0,1,0.9801652892561983,1216.44,1.0,0.9752066115702479,1.0,17,17,Half-decade average of yearly top-5 average result score,0.0
jumps,1970,1970s,CUB,2,7,1158.125,1158.125,actual,True,4,8,1207.0,2,0.9561983471074381,1215.1225757575758,0.6470588235294118,0.9669421487603306,0.9132231404958677,11,17,Half-decade average of yearly top-5 average result score,0.0
jumps,1970,1970s,FRA,3,8,1156.25,1156.25,actual,True,4,7,1175.0,3,0.9388429752066116,1209.8138888888889,0.7058823529411765,0.9338842975206612,0.9586776859504132,12,17,Half-decade average of yearly top-5 average result score,0.0
jumps,1970,1970s,SWE,4,9,1154.0,1154.0,actual,True,1,1,1154.0,4,0.9363636363636364,1214.2459999999999,0.5882352941176471,0.9586776859504132,0.8471074380165289,10,17,Half-decade average of yearly top-5 average result score,0.0
jumps,1970,1970s,AUS,5,18,1144.0,1144.0,actual,True,2,2,1146.0,10,0.8925619834710744,1189.8518055555555,0.7058823529411765,0.8760330578512396,0.9586776859504132,12,17,Half-decade average of yearly top-5 average result score,0.0
jumps,1970,1970s,RUS,6,,0.0,,filled_0_no_period_data,False,0,0,0.0,5,0.9330578512396696,1232.645,0.47058823529411764,0.9834710743801653,0.731404958677686,8,17,Half-decade average of yearly top-5 average result score,0.0
jumps,1970,1970s,UKR,7,,0.0,,filled_0_no_period_data,False,0,0,0.0,6,0.9256198347107438,1236.9609523809524,0.4117647058823529,1.0,0.628099173553719,7,17,Half-decade average of yearly top-5 average result score,0.0
jumps,1970,1970s,GER,8,,0.0,,filled_0_no_period_data,False,0,0,0.0,7,0.9231404958677686,1210.803,0.5882352941176471,0.9421487603305785,0.8471074380165289,10,17,Half-decade average of yearly top-5 average result score,0.0
jumps,1970,1970s,RSA,9,,0.0,,filled_0_no_period_data,False,0,0,0.0,8,0.903305785123967,1195.6956666666667,0.5882352941176471,0.9173553719008265,0.8471074380165289,10,17,Half-decade average of yearly top-5 average result score,0.0
jumps,1970,1970s,ITA,10,,0.0,,filled_0_no_period_data,False,0,0,0.0,9,0.8966942148760332,1193.2669696969697,0.6470588235294118,0.8925619834710744,0.9132231404958677,11,17,Half-decade average of yearly top-5 average result score,0.0
jumps,1975,1975s,USA,1,1,1193.48,1193.48,actual,True,5,236,1251.0,1,0.9801652892561983,1216.44,1.0,0.9752066115702479,1.0,17,17,Half-decade average of yearly top-5 average result score,0.0
jumps,1975,1975s,ITA,2,5,1173.0666666666666,1173.0666666666666,actual,True,3,24,1229.0,9,0.8966942148760332,1193.2669696969697,0.6470588235294118,0.8925619834710744,0.9132231404958677,11,17,Half-decade average of yearly top-5 average result score,0.0
jumps,1975,1975s,FRA,3,8,1160.7866666666666,1160.7866666666666,actual,True,5,42,1194.0,3,0.9388429752066116,1209.8138888888889,0.7058823529411765,0.9338842975206612,0.9586776859504132,12,17,Half-decade average of yearly top-5 average result score,0.0
jumps,1975,1975s,CUB,4,12,1156.9333333333334,1156.9333333333334,actual,True,3,16,1186.0,2,0.9561983471074381,1215.1225757575758,0.6470588235294118,0.9669421487603306,0.9132231404958677,11,17,Half-decade average of yearly top-5 average result score,0.0
jumps,1975,1975s,AUS,5,14,1154.275,1154.275,actual,True,2,10,1161.0,10,0.8925619834710744,1189.8518055555555,0.7058823529411765,0.8760330578512396,0.9586776859504132,12,17,Half-decade average of yearly top-5 average result score,0.0
jumps,1975,1975s,GER,6,17,1149.0,1149.0,actual,True,1,2,1160.0,7,0.9231404958677686,1210.803,0.5882352941176471,0.9421487603305785,0.8471074380165289,10,17,Half-decade average of yearly top-5 average result score,0.0
jumps,1975,1975s,RSA,7,23,1143.0,1143.0,actual,True,1,1,1143.0,8,0.903305785123967,1195.6956666666667,0.5882352941176471,0.9173553719008265,0.8471074380165289,10,17,Half-decade average of yearly top-5 average result score,0.0
jumps,1975,1975s,SWE,8,,0.0,,filled_0_no_period_data,False,0,0,0.0,4,0.9363636363636364,1214.2459999999999,0.5882352941176471,0.9586776859504132,0.8471074380165289,10,17,Half-decade average of yearly top-5 average result score,0.0
jumps,1975,1975s,RUS,9,,0.0,,filled_0_no_period_data,False,0,0,0.0,5,0.9330578512396696,1232.645,0.47058823529411764,0.9834710743801653,0.731404958677686,8,17,Half-decade average of yearly top-5 average result score,0.0
jumps,1975,1975s,UKR,10,,0.0,,filled_0_no_period_data,False,0,0,0.0,6,0.9256198347107438,1236.9609523809524,0.4117647058823529,1.0,0.628099173553719,7,17,Half-decade average of yearly top-5 average result score,0.0
jumps,1980,1980s,USA,1,1,1258.3600000000001,1258.3600000000001,actual,True,5,707,1311.0,1,0.9801652892561983,1216.44,1.0,0.9752066115702479,1.0,17,17,Half-decade average of yearly top-5 average result score,0.0
