year,event_type,gender,max_results_score,all_time_rank,event,category,event_rank,mark,competitor,nat,pos,date,venue,age,year_of_birth,event_name,environment,age_category
2010,middle-long,women,1258.0,2960.0,Women's 5000m indoor,Indoor Senior - Women,3,14:24.79,Meseret DEFAR,ETH,1,2010-02-10 00:00:00,Stockholm (SWE),27.0,1983.0,5000-metres,indoor,senior
2011,middle-long,men,1289.0,539.0,Men's 5000m indoor,Indoor U20 - Men,1,12:53.29,Isiah Kiplangat KOECH,KEN,1,2011-02-11 00:00:00,Düsseldorf (GER),18.0,1993.0,5000-metres,indoor,u20
2011,middle-long,men,1289.0,539.0,Men's 5000m indoor,Indoor Senior - Men,5,12:53.29,Isiah Kiplangat KOECH,KEN,1,2011-02-11 00:00:00,Düsseldorf (GER),18.0,1993.0,5000-metres,indoor,senior
2011,middle-long,women,1240.0,7470.0,Women's 5000m,Outdoor Senior - Women,29,14:20.87,Vivian Jepkemei CHERUIYOT,KEN,1,2011-07-29 00:00:00,"Olympiastadion, Stockholm (SWE)",28.0,1983.0,5000-metres,outdoor,senior
2012,middle-long,men,1301.0,272.0,Men's 800m,Outdoor Senior - Men,1,1:40.91,David RUDISHA,KEN,1,2012-08-09 00:00:00,"Olympic Stadium, London (GBR)",24.0,1988.0,800-metres,outdoor,senior
2012,middle-long,women,1233.0,10636.0,Women's 1500m,Outdoor Senior - Women,82,3:56.54,Abeba AREGAWI,ETH,1,2012-05-31 00:00:00,"Stadio Olimpico, Roma (ITA)",22.0,1990.0,1500-metres,outdoor,senior
2013,middle-long,men,1277.0,1073.0,Men's 1500m,Outdoor Senior - Men,17,3:27.72,Asbel KIPROP,KEN,1,2013-07-19 00:00:00,"Stade Louis II, Monaco (MON)",24.0,1989.0,1500-metres,outdoor,senior
2013,middle-long,women,1244.0,6050.0,Women's 3000m indoor,Indoor Senior - Women,16,8:26.95,Genzebe DIBABA,ETH,1,2013-02-21 00:00:00,"Globe Arena, Stockholm (SWE)",22.0,1991.0,3000-metres,indoor,senior
2014,middle-long,men,1279.0,939.0,Men's 1500m,Outdoor Senior - Men,14,3:27.64,Silas KIPLAGAT,KEN,1,2014-07-18 00:00:00,"Stade Louis II, Monaco (MON)",25.0,1989.0,1500-metres,outdoor,senior
2014,middle-long,women,1281.0,836.0,Women's 3000m indoor,Indoor Senior - Women,1,8:16.60,Genzebe DIBABA,ETH,1,2014-02-06 00:00:00,"Globe Arena, Stockholm (SWE)",23.0,1991.0,3000-metres,indoor,senior
2015,middle-long,men,1293.0,439.0,Men's 2 Miles indoor,Indoor Senior - Men,1,8:03.40,Mo FARAH,GBR,1,2015-02-21 00:00:00,"Barclaycard Arena, Birmingham (GBR)",32.0,1983.0,two-miles,indoor,senior
2015,middle-long,women,1287.0,601.0,Women's 1500m,Outdoor Senior - Women,2,3:50.07,Genzebe DIBABA,ETH,1,2015-07-17 00:00:00,"Stade Louis II, Monaco (MON)",24.0,1991.0,1500-metres,outdoor,senior
2016,middle-long,men,1274.0,1239.0,Men's 1000m indoor,Indoor Senior - Men,1,2:14.20,Ayanleh SOULEIMAN,DJI,1,2016-02-17 00:00:00,"Globe Arena, Stockholm (SWE)",24.0,1992.0,1000-metres,indoor,senior
2016,middle-long,women,1287.0,601.0,"Women's 10,000m",Outdoor Senior - Women,3,29:17.45,Almaz AYANA,ETH,1,2016-08-12 00:00:00,"Estádio Olímpico, Rio de Janeiro (BRA)",25.0,1991.0,10000-metres,outdoor,senior
2017,middle-long,men,1262.0,2374.0,Men's 1500m,Outdoor Senior - Men,39,3:28.80,Elijah Motonei MANANGOI,KEN,1,2017-07-21 00:00:00,"Stade Louis II, Monaco (MON)",24.0,1993.0,1500-metres,outdoor,senior
2017,middle-long,women,1257.0,3105.0,Women's 2000m indoor,Indoor Senior - Women,1,5:23.75,Genzebe DIBABA,ETH,1,2017-02-07 00:00:00,Sabadell (ESP),26.0,1991.0,2000-metres,indoor,senior
2018,middle-long,men,1273.0,1302.0,Men's 5000m,Outdoor U20 - Men,1,12:43.02,Selemon BAREGA,ETH,1,2018-08-31 00:00:00,"Boudewijnstadion, Bruxelles (BEL)",18.0,2000.0,5000-metres,outdoor,u20
