year,event_type,gender,max_results_score,all_time_rank,event,category,event_rank,mark,competitor,nat,pos,date,venue,age,year_of_birth,event_name,environment,age_category
1993,sprints,women,1288.0,573.0,Women's 200m indoor,Indoor Senior - Women,1,21.87,Merlene OTTEY,JAM,1f1,1993-02-13,Liévin (FRA),33.0,1960.0,200-metres,indoor,senior
1994,sprints,men,1259.0,2747.0,Men's 100m,Outdoor Senior - Men,107,9.85,Leroy BURRELL,USA,1f3,1994-07-06,"Stade Olympique de la Pontaise, Lausanne (SUI)",27.0,1967.0,100-metres,outdoor,senior
1994,sprints,women,1259.0,2747.0,Women's 200m indoor,Indoor Senior - Women,7,22.16,Irina PRIVALOVA,RUS,1f1,1994-02-13,Liévin (FRA),26.0,1968.0,200-metres,indoor,senior
1995,sprints,men,1294.0,410.0,Men's 400m,Outdoor Senior - Men,4,43.39,Michael JOHNSON,USA,1,1995-08-09,"Ullevi Stadium, Göteborg (SWE)",28.0,1967.0,400-metres,outdoor,senior
1995,sprints,women,1265.0,2090.0,Women's 200m indoor,Indoor Senior - Women,4,22.1,Irina PRIVALOVA,RUS,1f1,1995-02-19,Liévin (FRA),27.0,1968.0,200-metres,indoor,senior
1996,sprints,men,1329.0,56.0,Men's 200m,Outdoor Senior - Men,5,19.32,Michael JOHNSON,USA,1,1996-08-01,"Olympic Stadium, Atlanta, GA (USA)",29.0,1967.0,200-metres,outdoor,senior
1996,sprints,women,1277.0,1073.0,Women's 400m,Outdoor Senior - Women,7,48.25,Marie-José PÉREC,FRA,1,1996-07-29,"Olympic Stadium, Atlanta, GA (USA)",28.0,1968.0,400-metres,outdoor,senior
1997,sprints,men,1268.0,1770.0,Men's 400m,Outdoor Senior - Men,34,43.75,Michael JOHNSON,USA,1,1997-04-19,"Waco, TX (USA)",30.0,1967.0,400-metres,outdoor,senior
1997,sprints,men,1268.0,1770.0,Men's 55m indoor,Indoor Senior - Men,1,5.99,Obadele THOMPSON,BAR,1,1997-02-22,"Colorado Springs, CO (USA)",21.0,1976.0,55-metres,indoor,senior
1997,sprints,women,1267.0,1856.0,Women's 200m,Outdoor Senior - Women,31,21.76,Marion JONES,USA,1,1997-08-13,Zürich (SUI),22.0,1975.0,200-metres,outdoor,senior
1998,sprints,men,1274.0,1239.0,Men's 60m indoor,Indoor Senior - Men,4,6.39,Maurice GREENE,USA,1,1998-02-03,Madrid (ESP),24.0,1974.0,60-metres,indoor,senior
1998,sprints,women,1281.0,836.0,Women's 200m,Outdoor Senior - Women,11,21.62,Marion JONES,USA,1,1998-09-11,"SGJ, Johannesburg (RSA)",23.0,1975.0,200-metres,outdoor,senior
1999,sprints,men,1310.0,159.0,Men's 400m,Outdoor Senior - Men,2,43.18,Michael JOHNSON,USA,1,1999-08-26,"La Cartuja, Sevilla (ESP)",32.0,1967.0,400-metres,outdoor,senior
1999,sprints,women,1266.0,1994.0,Women's 100m,Outdoor Senior - Women,22,10.70,Marion JONES,USA,1,1999-08-22,"La Cartuja, Sevilla (ESP)",24.0,1975.0,100-metres,outdoor,senior
2000,sprints,men,1273.0,1302.0,Men's 400m,Outdoor Senior - Men,23,43.68,Michael JOHNSON,USA,1,2000-07-16,"Sacramento, CA (USA)",33.0,1967.0,400-metres,outdoor,senior
2000,sprints,women,1248.0,4963.0,Women's 100m,Outdoor Senior - Women,91,10.78,Marion JONES,USA,1,2000-08-05,"Crystal Palace, London (GBR)",25.0,1975.0,100-metres,outdoor,senior
2001,sprints,men,1274.0,1239.0,Men's 60m indoor,Indoor Senior - Men,4,6.39,Maurice GREENE,USA,1sf,2001-03-03,"Atlanta, GA (USA)",27.0,1974.0,60-metres,indoor,senior
2001,sprints,women,1240.0,7470.0,Women's 100m,Outdoor Senior - Women,160,10.82,Zhanna BLOCK,UKR,1,2001-08-06,"Commonwealth Stadium, Edmonton (CAN)",29.0,1972.0,100-metres,outdoor,senior
2002,sprints,men,1247.0,5221.0,Men's 200m,Outdoor Senior - Men,177,19.85,Konstantinos KENTERIS,GRE,1,2002-08-09,"Olympiastadion, München (GER)",29.0,1973.0,200-metres,outdoor,senior
2002,sprints,women,1240.0,7470.0,Women's 400m,Outdoor Senior - Women,69,49.16,Ana Gabriela GUEVARA,MEX,1,2002-08-16,Zürich (SUI),25.0,1977.0,400-metres,outdoor,senior
2003,sprints,men,1239.0,7768.0,Men's 60m indoor,Indoor Senior - Men,28,6.45,Justin GATLIN,USA,1,2003-03-01,"Boston, MA (USA)",21.0,1982.0,60-metres,indoor,senior
2003,sprints,women,1251.0,4200.0,Women's 400m,Outdoor Senior - Women,33,48.89,Ana Gabriela GUEVARA,MEX,1,2003-08-27,"Stade de France, Paris-St-Denis (FRA)",26.0,1977.0,400-metres,outdoor,senior
2004,sprints,men,1259.0,2747.0,Men's 100m,Outdoor Senior - Men,107,9.85,Justin GATLIN,USA,1,2004-08-22,"Olympic Stadium, Athina (GRE)",22.0,1982.0,100-metres,outdoor,senior
2004,sprints,women,1252.0,4003.0,Women's 400m indoor,Indoor Senior - Women,5,49.68,Natalya NAZAROVA,RUS,1,2004-02-18,Moskva (RUS),25.0,1979.0,400-metres,indoor,senior
2005,sprints,men,1287.0,601.0,Men's 100m,Outdoor Senior - Men,22,9.77,Asafa POWELL,JAM,1,2005-06-14,"Olympic Stadium, Athina (GRE)",23.0,1982.0,100-metres,outdoor,senior
2005,sprints,women,1249.0,4642.0,Women's 400m,Outdoor Senior - Women,36,48.92,Sanya RICHARDS-ROSS,USA,1,2005-08-19,Zürich (SUI),20.0,1985.0,400-metres,outdoor,senior
2006,sprints,men,1287.0,601.0,Men's 100m,Outdoor Senior - Men,22,9.77,Asafa POWELL,JAM,1,2006-06-11,"International Stadium, Gateshead (GBR)",24.0,1982.0,100-metres,outdoor,senior
2006,sprints,men,1287.0,601.0,Men's 100m,Outdoor Senior - Men,22,9.77,Asafa POWELL,JAM,1f1,2006-08-18,Zürich (SUI),24.0,1982.0,100-metres,outdoor,senior
2006,sprints,women,1258.0,2960.0,Women's 400m,Outdoor Senior - Women,19,48.70,Sanya RICHARDS-ROSS,USA,1,2006-09-16,"Olympic Stadium, Athina (GRE)",21.0,1985.0,400-metres,outdoor,senior
2007,sprints,men,1298.0,325.0,Men's 100m,Outdoor Senior - Men,9,9.74,Asafa POWELL,JAM,1h2,2007-09-09,"Stadio Guidobaldi, Rieti (ITA)",25.0,1982.0,100-metres,outdoor,senior
2007,sprints,women,1258.0,2960.0,Women's 200m,Outdoor Senior - Women,50,21.81,Allyson FELIX,USA,1,2007-08-31,"Yanmar Stadium Nagai, Osaka (JPN)",22.0,1985.0,200-metres,outdoor,senior
2008,sprints,men,1338.0,30.0,Men's 200m,Outdoor Senior - Men,3,19.3,Usain BOLT,JAM,1,2008-08-20,"National Stadium, Beijing (CHN)",22.0,1986.0,200-metres,outdoor,senior
2008,sprints,women,1265.0,2090.0,Women's 200m,Outdoor Senior - Women,26,21.74,Veronica CAMPBELL-BROWN,JAM,1,2008-08-21,"National Stadium, Beijing (CHN)",26.0,1982.0,200-metres,outdoor,senior
2009,sprints,men,1356.0,13.0,Men's 100m,Outdoor Senior - Men,1,9.58,Usain BOLT,JAM,1,2009-08-16,"Olympiastadion, Berlin (GER)",23.0,1986.0,100-metres,outdoor,senior
2009,sprints,women,1280.0,894.0,Women's 100m,Outdoor Senior - Women,9,10.64,Carmelita JETER,USA,1,2009-09-20,Shanghai (CHN),30.0,1979.0,100-metres,outdoor,senior
2010,sprints,men,1294.0,410.0,Men's 200m,Outdoor Senior - Men,20,19.56,Usain BOLT,JAM,1,2010-05-01,Kingston (JAM),24.0,1986.0,200-metres,outdoor,senior
2010,sprints,women,1248.0,4963.0,Women's 100m,Outdoor Senior - Women,91,10.78,Veronica CAMPBELL-BROWN,JAM,1,2010-07-03,"Hayward Field, Eugene, OR (USA)",28.0,1982.0,100-metres,outdoor,senior
2011,sprints,men,1339.0,29.0,Men's 200m,Outdoor Senior - Men,2,19.26,Yohan BLAKE,JAM,1,2011-09-16,"Boudewijnstadion, Bruxelles (BEL)",22.0,1989.0,200-metres,outdoor,senior
2011,sprints,women,1266.0,1994.0,Women's 100m,Outdoor Senior - Women,22,10.70,Carmelita JETER,USA,1,2011-06-04,"Hayward Field, Eugene, OR (USA)",32.0,1979.0,100-metres,outdoor,senior
2012,sprints,men,1337.0,34.0,Men's 100m,Outdoor Senior - Men,2,9.63,Usain BOLT,JAM,1,2012-08-05,"Olympic Stadium, London (GBR)",26.0,1986.0,100-metres,outdoor,senior
2012,sprints,women,1271.0,1441.0,Women's 200m,Outdoor Senior - Women,18,21.69,Allyson FELIX,USA,1,2012-06-30,"Hayward Field, Eugene, OR (USA)",27.0,1985.0,200-metres,outdoor,senior
2013,sprints,men,1288.0,573.0,Men's 100m,Outdoor Senior - Men,22,9.77,Usain BOLT,JAM,1,2013-08-11,"Luzhniki Stadion, Moskva (RUS)",27.0,1986.0,100-metres,outdoor,senior
2013,sprints,women,1265.0,2090.0,Women's 100m,Outdoor Senior - Women,29,10.71,Shelly-Ann FRASER-PRYCE,JAM,1,2013-08-12,"Luzhniki Stadion, Moskva (RUS)",27.0,1986.0,100-metres,outdoor,senior
2014,sprints,men,1287.0,601.0,Men's 100m,Outdoor Senior - Men,22,9.77,Justin GATLIN,USA,1,2014-09-05,"Boudewijnstadion, Bruxelles (BEL)",32.0,1982.0,100-metres,outdoor,senior
2014,sprints,women,1244.0,6050.0,Women's 100m,Outdoor Senior - Women,128,10.8,Tori BOWIE,USA,1,2014-07-18,"Stade Louis II, Monaco (MON)",24.0,1990.0,100-metres,outdoor,senior
2015,sprints,men,1298.0,325.0,Men's 100m,Outdoor Senior - Men,9,9.74,Justin GATLIN,USA,1,2015-05-15,"Suhaim bin Hamad Stadium, Doha (QAT)",33.0,1982.0,100-metres,outdoor,senior
2015,sprints,women,1277.0,1073.0,Women's 200m,Outdoor Senior - Women,12,21.63,Dafne SCHIPPERS,NED,1,2015-08-28,"National Stadium, Beijing (CHN)",23.0,1992.0,200-metres,outdoor,senior
2016,sprints,men,1321.0,82.0,Men's 400m,Outdoor Senior - Men,1,43.03,Wayde VAN NIEKERK,RSA,1,2016-08-14,"Estádio Olímpico, Rio de Janeiro (BRA)",24.0,1992.0,400-metres,outdoor,senior
2016,sprints,women,1266.0,1994.0,Women's 100m,Outdoor Senior - Women,22,10.70,Elaine THOMPSON,JAM,1,2016-07-01,Kingston (JAM),24.0,1992.0,100-metres,outdoor,senior
2017,sprints,men,1278.0,998.0,Men's 400m,Outdoor Senior - Men,16,43.62,Wayde VAN NIEKERK,RSA,1,2017-07-06,"Stade Olympique de la Pontaise, Lausanne (SUI)",25.0,1992.0,400-metres,outdoor,senior
2017,sprints,women,1264.0,2162.0,Women's 100m,Outdoor Senior - Women,29,10.71,Elaine THOMPSON,JAM,1,2017-06-23,Kingston (JAM),25.0,1992.0,100-metres,outdoor,senior
2018,sprints,men,1304.0,229.0,Men's 60m indoor,Indoor Senior - Men,1,6.34,Christian COLEMAN,USA,1,2018-02-18,"Albuquerque, NM (USA)",22.0,1996.0,60-metres,indoor,senior
2018,sprints,women,1250.0,4454.0,Women's 300m indoor,Indoor Senior - Women,1,35.45,Shaunae MILLER-UIBO,BAH,1,2018-02-03,"New York, NY (USA)",24.0,1994.0,300-metres,indoor,senior
2019,sprints,men,1300.0,284.0,Men's 200m,Outdoor Senior - Men,12,19.5,Noah LYLES,USA,1,2019-07-05,"Stade Olympique de la Pontaise, Lausanne (SUI)",22.0,1997.0,200-metres,outdoor,senior
2019,sprints,women,1281.0,836.0,Women's 400m,Outdoor Senior - Women,3,48.14,Salwa Eid NASER,BRN,1,2019-10-03,"Khalifa International Stadium, Doha (QAT)",21.0,1998.0,400-metres,outdoor,senior
2020,sprints,men,1258.0,2960.0,Men's 200m,Outdoor Senior - Men,83,19.76,Noah LYLES,USA,1,2020-08-14,"Stade Louis II, Monaco (MON)",23.0,1997.0,200-metres,outdoor,senior
2020,sprints,women,1240.0,7470.0,Women's 200m,Outdoor Senior - Women,141,21.98,Shaunae MILLER-UIBO,BAH,1f1,2020-07-25,"National Training Center, Clermont, FL (USA)",26.0,1994.0,200-metres,outdoor,senior
2021,sprints,men,1297.0,345.0,Men's 200m,Outdoor Senior - Men,14,19.52,Noah LYLES,USA,1,2021-08-21,"Hayward Field, Eugene, OR (USA)",24.0,1997.0,200-metres,outdoor,senior
2021,sprints,women,1302.0,259.0,Women's 100m,Outdoor Senior - Women,2,10.54,Elaine THOMPSON-HERAH,JAM,1,2021-08-21,"Hayward Field, Eugene, OR (USA)",29.0,1992.0,100-metres,outdoor,senior
2022,sprints,men,1331.0,47.0,Men's 200m,Outdoor Senior - Men,4,19.31,Noah LYLES,USA,1,2022-07-21,"Hayward Field, Eugene, OR (USA)",25.0,1997.0,200-metres,outdoor,senior
2022,sprints,women,1296.0,359.0,Women's 200m,Outdoor Senior - Women,3,21.45,Shericka JACKSON,JAM,1,2022-07-21,"Hayward Field, Eugene, OR (USA)",28.0,1994.0,200-metres,outdoor,senior
2023,sprints,men,1305.0,220.0,Men's 200m,Outdoor Senior - Men,10,19.47,Noah LYLES,USA,1,2023-07-23,"Olympic Stadium, London (GBR)",26.0,1997.0,200-metres,outdoor,senior
2023,sprints,women,1301.0,272.0,Women's 200m,Outdoor Senior - Women,2,21.41,Shericka JACKSON,JAM,1f1,2023-08-25,"Nemzeti Atlétikai Központ, Budapest (HUN)",29.0,1994.0,200-metres,outdoor,senior
1935,jumps,men,1166.0,161101.0,Men's Long Jump,Outdoor Senior - Men,2704,8.13,Jesse OWENS,USA,1,1935-05-25,"Ann Arbor, MI (USA)",22.0,1913.0,long-jump,outdoor,senior
1936,jumps,men,1151.0,246313.0,Men's Long Jump,Outdoor Senior - Men,4326,8.06,Jesse OWENS,USA,1,1936-08-04,"Olympiastadion, Berlin (GER)",23.0,1913.0,long-jump,outdoor,senior
1947,jumps,men,1153.0,233670.0,Men's Long Jump,Outdoor Senior - Men,4073,8.07,Willie STEELE,USA,1,1947-06-21,"Salt Lake City, UT (USA)",24.0,1923.0,long-jump,outdoor,senior
1952,jumps,men,1138.0,319755.0,Men's Long Jump,Outdoor Senior - Men,6206,8.0,George BROWN,USA,1,1952-05-10,"Fresno, CA (USA)",21.0,1931.0,long-jump,outdoor,senior
1955,jumps,men,1144.0,286235.0,Men's Long Jump,Outdoor Senior - Men,5231,8.03,Roselyn RANGE,USA,1,1955-03-14,Ciudad de México (MEX),22.0,1933.0,long-jump,outdoor,senior
1957,jumps,men,1160.0,192373.0,Men's Long Jump,Outdoor Senior - Men,3345,8.1,Greg BELL,USA,1,1957-06-14,"Austin, TX (USA)",27.0,1930.0,long-jump,outdoor,senior
1960,jumps,men,1184.0,88390.0,Men's Long Jump,Outdoor Senior - Men,1524,8.21,Ralph BOSTON,USA,1,1960-08-12,"Walnut, CA (USA)",21.0,1939.0,long-jump,outdoor,senior
1961,jumps,men,1199.0,49964.0,Men's Long Jump,Outdoor Senior - Men,896,8.28,Ralph BOSTON,USA,1,1961-07-16,Moskva (URS),22.0,1939.0,long-jump,outdoor,senior
1962,jumps,men,1205.0,39769.0,Men's Long Jump,Outdoor Senior - Men,706,8.31,Igor TER-OVANESYAN,URS,1,1962-06-10,Yerevan (ARM),24.0,1938.0,long-jump,outdoor,senior
1963,jumps,men,1210.0,32306.0,Men's Long Jump,Outdoor Senior - Men,596,8.33,Phil SHINNICK,USA,1,1963-05-25,"Modesto, CA (USA)",20.0,1943.0,long-jump,outdoor,senior
1964,jumps,men,1212.0,28951.0,Men's Long Jump,Outdoor Senior - Men,539,8.34,Ralph BOSTON,USA,,1964-09-12,"Los Angeles, CA (USA)",25.0,1939.0,long-jump,outdoor,senior
1964,jumps,women,1174.0,126141.0,Women's Long Jump,Outdoor Senior - Women,2110,6.76,Mary RAND,GBR,1,1964-10-14,"National Stadium, Tokyo (JPN)",24.0,1940.0,long-jump,outdoor,senior
1965,jumps,men,1214.0,26466.0,Men's Long Jump,Outdoor Senior - Men,498,8.35,Ralph BOSTON,USA,1,1965-05-29,"Modesto, CA (USA)",26.0,1939.0,long-jump,outdoor,senior
1966,jumps,men,1188.0,76220.0,Men's Long Jump indoor,Indoor Senior - Men,213,8.23,Igor TER-OVANESYAN,URS,1,1966-03-27,"Westfalenhalle, Dortmund (GER)",28.0,1938.0,long-jump,indoor,senior
1966,jumps,women,1171.0,137287.0,Women's Long Jump,Outdoor Senior - Women,1777,6.79,Tatyana SHCHELKANOVA,URS,1,1966-06-17,London (GBR),29.0,1937.0,long-jump,outdoor,senior
1967,jumps,men,1214.0,26466.0,Men's Long Jump,Outdoor Senior - Men,498,8.35,Igor TER-OVANESYAN,URS,1,1967-10-19,Ciudad de México (MEX),29.0,1938.0,long-jump,outdoor,senior
1967,jumps,women,1110.0,,Women's Long Jump indoor,Indoor Senior - Women,2419,6.51,Berit BERTHELSEN,NOR,1,1967-03-12,"Sportovní hala, Praha (CZE)",23.0,1944.0,long-jump,indoor,senior
1968,jumps,men,1335.0,38.0,Men's Long Jump,Outdoor Senior - Men,2,8.9,Bob BEAMON,USA,1,1968-10-18,"Estadio Olímpico, Ciudad de México (MEX)",22.0,1946.0,long-jump,outdoor,senior
1968,jumps,women,1178.0,111673.0,Women's Long Jump,Outdoor Senior - Women,1482,6.82,Viorica VISCOPOLEANU,ROU,1,1968-10-14,"Estadio Olímpico, Ciudad de México (MEX)",29.0,1939.0,long-jump,outdoor,senior
1969,jumps,men,1184.0,88390.0,Men's Long Jump,Outdoor Senior - Men,1524,8.21,Waldemar STĘPIEŃ,POL,1,1969-07-12,Chorzów (POL),23.0,1946.0,long-jump,outdoor,senior
1970,jumps,men,1214.0,26466.0,Men's Long Jump,Outdoor Senior - Men,498,8.35,Josef SCHWARZ,FRG,1,1970-07-15,Stuttgart (GER),29.0,1941.0,long-jump,outdoor,senior
1970,jumps,women,1183.0,93779.0,Women's Long Jump,Outdoor Senior - Women,1312,6.84,Heidemarie ROSENDAHL,FRG,1,1970-09-03,Torino (ITA),23.0,1947.0,long-jump,outdoor,senior
1971,jumps,men,1207.0,36327.0,Men's Triple Jump,Outdoor Senior - Men,603,17.4,Pedro PÉREZ DUENAS,CUB,1,1971-08-05,Cali (COL),19.0,1952.0,triple-jump,outdoor,senior
1971,jumps,men,1207.0,36327.0,Men's Triple Jump,Outdoor U20 - Men,10,17.4,Pedro PÉREZ DUENAS,CUB,1,1971-08-05,Cali (COL),19.0,1952.0,triple-jump,outdoor,u20
1971,jumps,women,1165.0,165123.0,Women's Long Jump,Outdoor Senior - Women,2110,6.76,Ingrid MICKLER,FRG,1,1971-08-14,"Olympiastadion, Helsinki (FIN)",29.0,1942.0,long-jump,outdoor,senior
1972,jumps,men,1215.0,25187.0,Men's Triple Jump,Outdoor Senior - Men,498,17.44,Viktor SANEYEV,URS,1,1972-10-17,Sukhumi (URS),27.0,1945.0,triple-jump,outdoor,senior
1972,jumps,women,1180.0,103198.0,Women's Long Jump,Outdoor Senior - Women,1392,6.83,Heidemarie ROSENDAHL,FRG,1ce,1972-09-03,"Olympiastadion, München (GER)",25.0,1947.0,long-jump,outdoor,senior
1973,jumps,men,1190.0,70591.0,Men's Long Jump,Outdoor Senior - Men,1210,8.24,James MCALISTER,USA,1,1973-05-05,"Westwood, CA (USA)",22.0,1951.0,long-jump,outdoor,senior
1973,jumps,women,1140.0,309929.0,Women's High Jump indoor,Indoor Senior - Women,1767,1.92,Yordanka BLAGOYEVA,BUL,1,1973-03-11,"Ahoy, Rotterdam (NED)",26.0,1947.0,high-jump,indoor,senior
1974,jumps,men,1203.0,42668.0,Men's Long Jump,Outdoor Senior - Men,763,8.3,Arnie ROBINSON,USA,1,1974-05-25,"Modesto, CA (USA)",26.0,1948.0,long-jump,outdoor,senior
1974,jumps,women,1170.0,142391.0,Women's High Jump,Outdoor Senior - Women,1824,1.95,Rosemary WITSCHAS,GDR,1,1974-09-08,"Stadio Olimpico, Roma (ITA)",22.0,1952.0,high-jump,outdoor,senior
1975,jumps,men,1260.0,2607.0,Men's Triple Jump,Outdoor Senior - Men,36,17.89,João Carlos DE OLIVEIRA,BRA,1.0,1975-10-15,Ciudad de México (MEX),21.0,1954.0,triple-jump,outdoor,senior
1975,jumps,women,1140.0,309929.0,Women's High Jump indoor,Indoor Senior - Women,1767,1.92,Rosemary WITSCHAS-ACKERMANN,GDR,1,1975-03-09,"Rondo, Katowice (POL)",23.0,1952.0,high-jump,indoor,senior
1976,jumps,men,1217.0,23052.0,Men's Long Jump,Outdoor Senior - Men,498,8.35,Arnie ROBINSON,USA,1,1976-07-29,"Olympic Stadium, Montréal (CAN)",28.0,1948.0,long-jump,outdoor,senior
1976,jumps,women,1216.0,24242.0,Women's Long Jump,Outdoor Senior - Women,494,6.99,Sigrun SIEGL,GDR,1,1976-05-19,Dresden (GER),22.0,1954.0,long-jump,outdoor,senior
1977,jumps,men,1206.0,37617.0,Men's High Jump,Outdoor U20 - Men,12,2.33,Vladimir YASHCHENKO,URS,1,1977-07-03,"Richmond, VA (USA)",18.0,1959.0,high-jump,outdoor,u20
1977,jumps,men,1206.0,37617.0,Men's High Jump,Outdoor Senior - Men,578,2.33,Vladimir YASHCHENKO,URS,1,1977-07-03,"Richmond, VA (USA)",18.0,1959.0,high-jump,outdoor,senior
1977,jumps,women,1219.0,20877.0,Women's High Jump,Outdoor Senior - Women,347,2.0,Rosemarie ACKERMANN,GDR,1,1977-08-26,Berlin (GER),25.0,1952.0,high-jump,outdoor,senior
1978,jumps,men,1224.0,16499.0,Men's High Jump indoor,Indoor U20 - Men,1,2.35,Vladimir YASHCHENKO,URS,1,1978-03-12,"Palazzo dello Sport, Milano (ITA)",19.0,1959.0,high-jump,indoor,u20
1978,jumps,men,1224.0,16499.0,Men's High Jump indoor,Indoor Senior - Men,150,2.35,Vladimir YASHCHENKO,URS,1,1978-03-12,"Palazzo dello Sport, Milano (ITA)",19.0,1959.0,high-jump,indoor,senior
1978,jumps,women,1238.0,8577.0,Women's Long Jump,Outdoor Senior - Women,228,7.09,Vilma BARDAUSKIENÉ,URS,1q1,1978-08-29,"Stadion Evžena Rošického, Praha (TCH)",25.0,1953.0,long-jump,outdoor,senior
1979,jumps,men,1251.0,4200.0,Men's Long Jump,Outdoor Senior - Men,121,8.52,Larry MYRICKS,USA,1,1979-08-26,"Olympic Stadium, Montréal (CAN)",23.0,1956.0,long-jump,outdoor,senior
1979,jumps,women,1209.0,33600.0,Women's High Jump,Outdoor Senior - Women,644,1.99,Rosemarie ACKERMANN,GDR,1.0,1979-08-05,Torino (ITA),27.0,1952.0,high-jump,outdoor,senior
1980,jumps,men,1256.0,3223.0,Men's Long Jump,Outdoor Senior - Men,96,8.54,Lutz DOMBROWSKI,GDR,1,1980-07-28,"Lenin Stadium, Moskva (URS)",21.0,1959.0,long-jump,outdoor,senior
1980,jumps,women,1231.0,11767.0,Women's Long Jump,Outdoor Senior - Women,293,7.06,Tatyana KOLPAKOVA,URS,1,1980-07-31,"Lenin Stadium, Moskva (URS)",21.0,1959.0,long-jump,outdoor,senior
1981,jumps,men,1273.0,1302.0,Men's Long Jump,Outdoor Senior - Men,44,8.62,Carl LEWIS,USA,1,1981-06-20,"Sacramento, CA (USA)",20.0,1961.0,long-jump,outdoor,senior
1981,jumps,women,1209.0,33600.0,Women's Long Jump,Outdoor Senior - Women,608,6.96,Jodi ANDERSON,USA,1,1981-07-23,"Colorado Springs, CO (USA)",24.0,1957.0,long-jump,outdoor,senior
1982,jumps,men,1304.0,229.0,Men's Long Jump,Outdoor Senior - Men,7,8.76,Carl LEWIS,USA,1,1982-07-24,"Indianapolis, IN (USA)",21.0,1961.0,long-jump,outdoor,senior
1982,jumps,women,1263.0,2282.0,Women's Long Jump,Outdoor Senior - Women,94,7.2,Valy IONESCU,ROU,1,1982-08-01,Bucureşti (ROU),22.0,1960.0,long-jump,outdoor,senior
1983,jumps,men,1311.0,150.0,Men's Long Jump,Outdoor Senior - Men,6,8.79,Carl LEWIS,USA,1,1983-06-19,"Indianapolis, IN (USA)",22.0,1961.0,long-jump,outdoor,senior
1983,jumps,women,1313.0,136.0,Women's Long Jump,Outdoor Senior - Women,12,7.43,Anișoara CUȘMIR,ROU,1,1983-06-04,Bucureşti (ROU),21.0,1962.0,long-jump,outdoor,senior
1984,jumps,men,1311.0,150.0,Men's Long Jump indoor,Indoor Senior - Men,1,8.79,Carl LEWIS,USA,1,1984-01-27,"New York, NY (USA)",23.0,1961.0,long-jump,indoor,senior
1984,jumps,women,1307.0,188.0,Women's Long Jump,Outdoor Senior - Women,14,7.4,Heike DRECHSLER,GDR,1,1984-07-26,Dresden (GER),20.0,1964.0,long-jump,outdoor,senior
1985,jumps,men,1278.0,998.0,Men's High Jump,Outdoor Senior - Men,9,2.41,Igor PAKLIN,URS,1,1985-09-04,Kobe (JPN),22.0,1963.0,high-jump,outdoor,senior
1985,jumps,women,1316.0,109.0,Women's Long Jump,Outdoor Senior - Women,11,7.44,Heike DRECHSLER,GDR,1,1985-09-22,Berlin (GDR),21.0,1964.0,long-jump,outdoor,senior
1986,jumps,men,1272.0,1364.0,Men's Long Jump,Outdoor Senior - Men,50,8.61,Robert EMMIYAN,URS,1,1986-07-06,Moskva (URS),21.0,1965.0,long-jump,outdoor,senior
1986,jumps,women,1318.0,90.0,Women's Long Jump,Outdoor Senior - Women,6,7.45,Heike DRECHSLER,GDR,1,1986-06-21,Tallinn (EST),22.0,1964.0,long-jump,outdoor,senior
1986,jumps,women,1318.0,90.0,Women's Long Jump,Outdoor Senior - Women,6,7.45,Heike DRECHSLER,GDR,1,1986-07-03,Dresden (GER),22.0,1964.0,long-jump,outdoor,senior
1987,jumps,men,1326.0,65.0,Men's Long Jump,Outdoor Senior - Men,4,8.86,Robert EMMIYAN,URS,1,1987-05-22,Tsakhadzor (ARM),22.0,1965.0,long-jump,outdoor,senior
1987,jumps,women,1318.0,90.0,Women's Long Jump,Outdoor Senior - Women,6,7.45,Jackie JOYNER-KERSEE,USA,1,1987-08-13,"Indianapolis, IN (USA)",25.0,1962.0,long-jump,outdoor,senior
1988,jumps,men,1304.0,229.0,Men's Long Jump,Outdoor Senior - Men,7,8.76,Carl LEWIS,USA,1,1988-07-18,"Indianapolis, IN (USA)",27.0,1961.0,long-jump,outdoor,senior
1988,jumps,women,1333.0,43.0,Women's Long Jump,Outdoor Senior - Women,1,7.52,Galina CHISTYAKOVA,URS,1,1988-06-11,Leningrad (URS),26.0,1962.0,long-jump,outdoor,senior
1989,jumps,men,1305.0,220.0,Men's High Jump,Outdoor Senior - Men,2,2.44,Javier SOTOMAYOR,CUB,1,1989-07-29,San Juan (PUR),22.0,1967.0,high-jump,outdoor,senior
1989,jumps,women,1284.0,722.0,Women's Long Jump indoor,Indoor Senior - Women,3,7.3,Galina CHISTYAKOVA,URS,1,1989-01-28,Lipetsk (URS),27.0,1962.0,long-jump,indoor,senior
1990,jumps,men,1282.0,794.0,Men's Long Jump,Outdoor Senior - Men,26,8.66,Mike POWELL,USA,1,1990-06-28,Villeneuve d'Ascq (FRA),27.0,1963.0,long-jump,outdoor,senior
1990,jumps,men,1282.0,794.0,Men's Long Jump,Outdoor Senior - Men,26,8.66,Mike POWELL,USA,1,1990-06-29,Villeneuve d'Ascq (FRA),27.0,1963.0,long-jump,outdoor,senior
1990,jumps,women,1295.0,382.0,Women's Long Jump,Outdoor Senior - Women,25,7.35,Galina CHISTYAKOVA,URS,1,1990-06-20,Bratislava (TCH),28.0,1962.0,long-jump,outdoor,senior
1991,jumps,men,1346.0,22.0,Men's Long Jump,Outdoor Senior - Men,1,8.95,Mike POWELL,USA,1,1991-08-30,"National Stadium, Tokyo (JPN)",28.0,1963.0,long-jump,outdoor,senior
